Pika-1	Gen-3	temporal_flickering	A tranquil tableau of barn-0.mp4	1
HunYuanVideo	Lavie_interpolation	spatial_relationship	a wine glass on the right of a cup, front view-4.mp4	0
TF-T2V	HunYuanVideo	temporal_style	A panda drinking coffee in a cafe in Paris, zoom out-1.mp4	1
videocrafter	Vchitect-2.0-2B	spatial_relationship	a train on the right of a boat, front view-0.mp4	1
AnimateLCM	lavie	multiple_objects	an umbrella and a handbag-1.mp4	0
MiniMax-Video-01	modelscope	subject_consistency	a boat accelerating to gain speed-2.mp4	0
videocrafter-09	OpenSoraPlan1-2	appearance_style	Gwen Stacy reading a book, black and white-1.mp4	1
AnimateDiff-V1	Latte-1	scene	fountain-3.mp4	0
HiGen	Wanx 2.1	temporal_flickering	A tranquil tableau of barn-0.mp4	1
CausVid_24fps	Mochi-1	spatial_relationship	a carrot on the top of a hot dog, front view-1.mp4	0
Mochi-1	Pika-1	spatial_relationship	an elephant on the left of a bear, front view-4.mp4	0
videocrafter-1	Mochi-1	spatial_relationship	In a still frame, amidst the cobblestone streets, an Art Nouveau lamppost stood tall-0.mp4	1
videocrafter-1	Mochi-1	spatial_relationship	In a still frame, amidst the cobblestone streets, an Art Nouveau lamppost stood tall-0.mp4	1
Wanx 2.1	lavie	color	a vase and scissors-1.mp4	0
Show-1	Mochi-1	temporal_style	The bund Shanghai, tilt down-1.mp4	0
modelscope	Wanx 2.1	human_action	A person is doing aerobics-3.mp4	1
InstructVideo(ModelScope)	HunYuanVideo	spatial_relationship	a donut on the bottom of broccoli, front view-2.mp4	1
CogVideoX1.5-5B	lavie	multiple_objects	scissors and a teddy bear-3.mp4	0
videocrafter-09	videocrafter-1	appearance_style	A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, animated style-4.mp4	1
opensora	CausVid	subject_consistency	a truck accelerating to gain speed-1.mp4	1
Gen-2	HunYuanVideo	multiple_objects	a toothbrush and a sink-4.mp4	1
AnimateDiff-V2	OpenSoraV1-2(8s)	scene	glacier-1.mp4	1
pika-all-dimension	CausVid_24fps	scene	golf course-2.mp4	1
HiGen	AnimateDiff-V1	temporal_flickering	a dilapidated phone booth stood as a relic of a bygone era on the sidewalk, frozen in time-4.mp4	1
HiGen	InstructVideo(ModelScope)	human_action	A person is ice skating-0.mp4	1
videocrafter-1	Show-1	spatial_relationship	a wine glass on the right of a cup, front view-2.mp4	1
CausVid	HiGen	human_action	A person is strumming guitar-2.mp4	0
Vchitect-2.0-2B	OpenSorav1-1	scene	cemetery-4.mp4	0
videocrafter-1	TF-T2V	appearance_style	A panda drinking coffee in a cafe in Paris, watercolor painting-4.mp4	1
Pika-1	MiniMax-Video-01	multiple_objects	a keyboard and a cell phone-0.mp4	0
lavie	opensora	human_action	A person is knitting-2.mp4	0
videocrafter-09	videocrafter-1	color	a pink chair-0.mp4	1
HiGen	Lavie_interpolation	multiple_objects	a horse and a sheep-2.mp4	0
CogVideoX1.5-5B	OpenSoraPlanv1-3	human_action	an ice cream is melting on the table.-1.mp4	0
Mochi-1	videocrafter-09	subject_consistency	a cat drinking water-4.mp4	0
modelscope	Pika-1	color	an orange suitcase-0.mp4	1
HiGen	vidu	color	a pink suitcase-0.mp4	1
CausVid_24fps	HiGen	subject_consistency	a giraffe taking a peaceful walk-3.mp4	0
Kling	OpenSorav1-1	temporal_flickering	In a still frame, within the historic library's reading room, rows of antique leather chairs and mahogany tables offered a serene haven for literary contemplation-2.mp4	0
Mira-384	cogvideo	human_action	A person is rock climbing-3.mp4	0
AnimateDiff-V2	Vchitect-2.0-2B+VEnhancer	scene	bakery shop-0.mp4	0
CausVid	vidu	appearance_style	a bus accelerating to gain speed-4.mp4	0
TF-T2V	OpenSoraPlanv1-3	spatial_relationship	a carrot on the bottom of a hot dog, front view-1.mp4	1
CausVid_24fps	Jimeng	temporal_flickering	In a still frame, a park bench with a view of the lake-1.mp4	0
CausVid	TF-T2V	human_action	A person is bungee jumping-4.mp4	0
CausVid	OpenSoraPlan1-2	subject_consistency	a bus stuck in traffic during rush hour-2.mp4	0
Latte-1	vidu	temporal_style	An astronaut flying in space, tilt down-2.mp4	1
AnimateDiff-V2	OpenSoraPlanv1-1	human_action	A person is playing flute-2.mp4	0
Vchitect-2.0-2B+VEnhancer	Mochi-1	object_class	a kite-4.mp4	1
OpenSoraPlanv1-1	videocrafter-2	overall_consistency	A polar bear is playing guitar-2.mp4	1
Vchitect-2.0-2B+VEnhancer	pika-all-dimension	temporal_flickering	A tranquil tableau of a chair-0.mp4	0
videocrafter-2	modelscope	object_class	a bear-4.mp4	1
CausVid_24fps	cogvideo	scene	barn-1.mp4	0
CogVideoX-2B(SAT)	InstructVideo(ModelScope)	object_class	a handbag-1.mp4	0
Gen-3	InstructVideo(ModelScope)	temporal_flickering	In a still frame, in the vast desert, an oasis nestled among dunes, featuring tall palm trees and an air of serenity-4.mp4	1
videocrafter-09	Pika-1	color	a pink bird-2.mp4	1
CogVideoX-2B(SAT)	Mira-384	appearance_style	A couple in formal evening wear going home get caught in a heavy downpour with umbrellas, animated style-4.mp4	0
InstructVideo(ModelScope)	cogvideo	scene	classroom-2.mp4	1
Latte-1	CausVid_24fps	color	an orange car-1.mp4	1
Wanx 2.1	HiGen	subject_consistency	an airplane taking off-3.mp4	0
OpenSoraV1-2(8s)	videocrafter-09	scene	driveway-2.mp4	0
videocrafter-2	Latte-1	subject_consistency	a sheep bending down to drink water from a river-1.mp4	1
OpenSorav1-1	MiniMax-Video-01	temporal_style	A panda drinking coffee in a cafe in Paris, tilt up-2.mp4	1
TF-T2V	vidu	temporal_flickering	A tranquil tableau of a vintage rocking chair was placed on the porch-4.mp4	1
OpenSoraPlan1-2	videocrafter-1	object_class	a knife-1.mp4	1
videocrafter-1	AnimateDiff-V2	color	a purple bird-3.mp4	1
Lavie_interpolation	HunYuanVideo	appearance_style	An astronaut flying in space, surrealism style-0.mp4	1
OpenSoraPlanv1-1	AnimateDiff-V2	color	a black cat-3.mp4	1
CausVid_24fps	Show-1	subject_consistency	a motorcycle slowing down to stop-4.mp4	0
OpenSoraPlanv1-1	Kling	multiple_objects	a donut and a suitcase-4.mp4	1
CogVideoX1.5-5B	pika-all-dimension	spatial_relationship	a cup on the left of a fork, front view-4.mp4	0
InstructVideo(ModelScope)	Mira-384	overall_consistency	A boat sailing leisurely along the Seine River with the Eiffel Tower in background-1.mp4	1
CogVideoX-2B(SAT)	Mochi-1	human_action	A person is pushing cart-1.mp4	0
AnimateLCM	InstructVideo(ModelScope)	spatial_relationship	a bicycle on the left of a car, front view-4.mp4	0
Mira-384	Gen-3	scene	outdoor track-4.mp4	1
OpenSoraV1-2(8s)	Kling	subject_consistency	a cat grooming itself meticulously with its tongue-3.mp4	1
CausVid_24fps	Pika-1	scene	downtown-0.mp4	0
AnimateLCM	videocrafter-2	subject_consistency	a bicycle slowing down to stop-4.mp4	0
